check_number,name,date,species,year,country,discoverer ,lat,long,link,image,ref,ref_link,CHECK
1,Atapuerca Skull 5,0.4,Homo heidelbergensis,1992,Spain,"Bermudez de Castro, Arsuaga & Carbonell",42.366667,-3.522222,"<a href=""HERE"">Click here for more info</a>",,,,
2,AL 129-1,3.10±0.10,Australopithecus afarensis,1973,"Afar Region,  Ethiopia",Donald Johanson,11.12,40.58,"<a href=""https://en.wikipedia.org/wiki/AL_129-1"">Click here for more info</a>",,,,
3,AL 200-1,3.10±0.10,Australopithecus afarensis,1975,"Afar Region, Ethiopia",Donald Johanson Yves Coppens and Maurice Taieb,11.12,40.58,"<a href=""https://en.wikipedia.org/wiki/AL_200-1"">Click here for more info</a>",,,,
4,AL 288-1,3.2,Australopithecus afarensis,1974,Ethiopia,"Tom Gray, Donald Johanson, Yves Coppens and Maurice Taieb",11.12,40.58,"<a href=""https://en.wikipedia.org/wiki/Lucy_(Australopithecus)"">Click here for more info</a>",,,,
5,AL 444-2,3,Australopithecus afarensis,1992,"Afar Region,  Ethiopia",Yoel Rak,11.12,40.58,"<a href=""https://humanorigins.si.edu/evidence/human-fossils/fossils/al-444-2"">Click here for more info</a>",,,,location estiamted
6,ALA-VP 1/20,5.65±0.150,Ardipithecus kadabba,1997,EthiopiaSite:Middle Awash,Yohannes Haile-Selassie,10.3,40.8,"<a href=""https://www.efossils.org/species/ardipithecus-kadabba"">Click here for more info</a>",,,,locaton estaimted
7,Altamura Man,151±21,Homo neanderthalensis,1993,Italy,n/a,40.817,16.55,"<a href=""https://en.wikipedia.org/wiki/Altamura_Man"">Click here for more info</a>",https://raw.githubusercontent.com/MarcKissel/QuantMethods_Fall_2022/main/alt.jpg,,,
8,Amud 1,41,Homo neanderthalensis,1961,Israel,Hisashi Suzuki,32.880919,35.503264,"<a href=""https://en.wikipedia.org/wiki/Amud_1"">Click here for more info</a>",,,,
9,Apidima 1,210,Homo sapiens,1978,Apidima Cave / Greece,Theodore Pitsios[86],36.661389,22.363333,"<a href=""https://en.wikipedia.org/wiki/Apidima_Cave"">Click here for more info</a>",,,,
10,Apidima 2,170,Homo neanderthalensis,1978,Apidima Cave / Greece,Theodore Pitsios[86],36.661389,22.363333,"<a href=""https://en.wikipedia.org/wiki/Apidima_Cave"">Click here for more info</a>",,,,
11,Arago 21,0.45,Homo erectus,1971,France,Henry de Lumley,42.839444,2.755,"<a href=""https://en.wikipedia.org/wiki/Tautavel_Man"">Click here for more info</a>",,,,
